,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,Width,Time,species
2192,10079.0,4528.0,37785.0,5174.0,2929.0,406.0,29320.990234375,8537.998046875,39801.01171875,4998.0,59.0,593.0,1
2193,48980.0,2925.0,254691.0,31148.0,9851.0,724.0,91980.0078125,6112.99755859375,250804.9375,31079.0,87.0,279.0,1
2194,0.0,670.0,28243.0,4382.0,834.0,82.0,7989.0029296875,1373.9998779296875,19624.9921875,3040.0,89.0,179.0,6
2195,2133.0,0.0,64550.0,8575.0,3584.0,141.0,17810.998046875,1401.0,62816.984375,8685.0,64.0,427.0,6
2196,5179.0,4481.0,97058.0,14530.0,5207.0,129.0,26695.001953125,7393.998046875,101096.9921875,15483.0,66.0,278.0,1
2197,10533.0,3606.0,56039.0,6703.0,1988.0,94.0,39101.0078125,5294.00244140625,59762.984375,7492.0,65.0,452.0,1
2198,3570.0,1219.0,25084.0,3196.0,1994.0,476.0,13053.005859375,2978.00146484375,24441.009765625,3296.0,47.0,604.0,1
2199,0.0,584.0,13632.0,2319.0,337.0,330.0,3289.999755859375,2720.001220703125,11151.0048828125,1509.0,63.0,397.0,6
2200,0.0,3947.0,255903.0,36922.0,8959.0,0.0,6444.99755859375,4212.0009765625,190113.9375,27076.0,88.0,607.0,1
2201,7245.0,3075.0,243803.0,34048.0,9252.0,567.0,10920.9951171875,2808.99951171875,183956.078125,26428.0,100.0,542.0,1
2202,13817.0,5490.0,20624.0,3106.0,1043.0,252.0,38910.99609375,8204.0009765625,21338.005859375,3130.0,59.0,519.0,1
2203,12924.0,8149.0,48061.0,6590.0,2579.0,369.0,48844.01953125,12655.0029296875,49367.01953125,6546.0,65.0,381.0,1
2204,13855.0,2021.0,19063.0,2448.0,1925.0,298.0,39636.015625,5079.00048828125,19560.005859375,2702.0,51.0,408.0,1
2205,10428.0,6466.0,75481.0,10531.0,2975.0,374.0,28477.994140625,7243.99755859375,77801.03125,10767.0,67.0,196.0,1
2206,8413.0,6486.0,6367.0,916.0,642.0,240.0,23517.0,12364.9990234375,6886.9970703125,665.0,34.0,488.0,1
2207,6395.0,2047.0,8902.0,1203.0,870.0,0.0,31032.998046875,4383.0009765625,9798.9970703125,1394.0,36.0,484.0,6
2208,28731.0,1314.0,103746.0,15534.0,4466.0,0.0,72938.015625,5995.00146484375,104166.984375,15141.0,67.0,399.0,1
2209,21946.0,14291.0,29093.0,3921.0,2227.0,280.0,60961.9921875,23984.009765625,30006.986328125,4172.0,56.0,448.0,1
2210,12601.0,3947.0,171388.0,24523.0,7791.0,0.0,47598.01953125,5367.99951171875,161597.0625,22906.0,74.0,431.0,1
